Packet number,Gyroscope X (deg/s),Gyroscope Y(deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
172,-0.03,-0.01,-0.18,0.32,-0.25,9.97,0,0,0
173,-0.05,-0.01,-0.18,0.36,-0.31,9.91,0,0,0
174,-0.05,-0.01,-0.22,0.30,-0.29,9.96,0,0,0
175,-0.06,-0.01,-0.22,0.29,-0.30,9.91,0,0,0
176,-0.06,-0.01,-0.22,0.43,-0.32,9.87,0,0,0
177,-0.05,-0.01,-0.22,0.25,-0.32,9.75,0,0,0
178,-0.03,-0.02,-0.20,0.31,-0.31,9.90,0,0,0
179,-0.02,-0.03,-0.18,0.38,-0.28,9.92,0,0,0
180,-0.03,-0.01,-0.22,0.24,-0.24,10.06,0,0,0
181,-0.05,-0.03,-0.23,0.27,-0.29,10.00,0,0,0
182,-0.06,-0.02,-0.22,0.26,-0.44,9.98,0,0,0
183,-0.07,-0.01,-0.19,0.39,-0.43,9.91,0,0,0
184,-0.06,0.00,-0.17,0.39,-0.37,9.83,0,0,0
185,-0.05,0.00,-0.17,0.35,-0.29,9.79,0,0,0
186,-0.05,-0.02,-0.24,0.23,-0.13,9.87,0,0,0
187,-0.07,-0.03,-0.29,0.30,-0.28,9.82,0,0,0
188,-0.07,-0.03,-0.29,0.36,-0.32,9.92,0,0,0
189,-0.07,-0.02,-0.26,0.45,-0.42,9.88,0,0,0
190,-0.06,-0.02,-0.23,0.39,-0.44,9.82,0,0,0
191,-0.05,-0.02,-0.16,0.37,-0.41,9.88,0,0,0
192,-0.02,-0.02,-0.15,0.38,-0.15,9.84,0,0,0
193,-0.04,-0.03,-0.24,0.23,-0.05,10.05,0,0,0
194,-0.06,-0.04,-0.28,0.27,-0.07,9.89,0,0,0
195,-0.06,-0.04,-0.30,0.28,-0.43,9.81,0,0,0
196,-0.03,-0.03,-0.24,0.23,-0.41,9.75,0,0,0
197,-0.01,-0.02,-0.17,0.24,-0.31,9.86,0,0,0
198,-0.01,-0.01,-0.18,0.21,-0.25,9.86,0,0,0
199,-0.00,-0.02,-0.18,0.25,-0.19,9.89,0,0,0
200,-0.00,-0.02,-0.19,0.33,-0.19,9.84,0,0,0
201,-0.00,-0.01,-0.18,0.26,-0.34,9.83,0,0,0
202,0.01,-0.01,-0.15,0.30,-0.36,9.84,0,0,0
203,0.01,-0.01,-0.13,0.31,-0.32,9.87,0,0,0
204,0.01,0.00,-0.15,0.31,-0.21,9.91,0,0,0
205,-0.00,-0.01,-0.18,0.23,-0.23,9.96,0,0,0
206,-0.02,-0.01,-0.20,0.30,-0.41,9.82,0,0,0
207,-0.01,-0.01,-0.20,0.38,-0.40,9.83,0,0,0
208,-0.02,-0.01,-0.21,0.37,-0.34,9.84,0,0,0
209,-0.01,-0.01,-0.23,0.42,-0.30,9.91,0,0,0
210,-0.02,-0.02,-0.23,0.35,-0.34,9.95,0,0,0
211,-0.02,-0.02,-0.21,0.42,-0.42,10.00,0,0,0
212,-0.02,-0.01,-0.16,0.41,-0.44,9.94,0,0,0
213,-0.02,-0.01,-0.15,0.24,-0.36,9.97,0,0,0
214,-0.02,-0.02,-0.17,0.24,-0.27,9.90,0,0,0
215,-0.03,-0.03,-0.22,0.34,-0.26,9.94,0,0,0
216,-0.03,-0.04,-0.23,0.28,-0.26,9.85,0,0,0
217,-0.03,-0.03,-0.27,0.35,-0.27,9.88,0,0,0
218,-0.04,-0.03,-0.29,0.27,-0.26,9.81,0,0,0
219,-0.04,-0.03,-0.35,0.20,-0.31,10.01,0,0,0
220,-0.05,-0.04,-0.36,0.28,-0.35,9.94,0,0,0
221,-0.05,-0.04,-0.34,0.35,-0.45,9.98,0,0,0
222,-0.05,-0.03,-0.28,0.34,-0.49,9.99,0,0,0
223,-0.04,-0.02,-0.20,0.30,-0.53,9.88,0,0,0
224,-0.02,-0.01,-0.15,0.34,-0.35,9.89,0,0,0
225,-0.03,0.02,-0.16,0.10,-0.44,9.96,0,0,0
226,-0.04,-0.00,-0.13,0.34,-0.33,10.00,0,0,0
227,-0.04,0.02,-0.12,0.42,-0.36,9.95,0,0,0
228,-0.05,0.02,-0.17,0.18,-0.16,9.86,0,0,0
229,-0.06,0.01,-0.23,0.18,-0.10,9.77,0,0,0
230,-0.08,-0.02,-0.34,0.21,-0.27,9.77,0,0,0
231,-0.07,-0.02,-0.34,0.25,-0.42,9.80,0,0,0
232,-0.05,-0.01,-0.29,0.40,-0.44,9.85,0,0,0
233,-0.05,0.01,-0.22,0.30,-0.41,10.02,0,0,0
234,-0.05,0.01,-0.18,0.24,-0.38,9.96,0,0,0
