Packet number,Gyroscope X (deg/s),Gyroscope Y(deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
329,0.15,0.11,0.05,0.45,0.40,9.95,0,0,0
330,0.13,0.10,0.04,0.52,0.34,9.98,0,0,0
331,0.12,0.12,-0.00,0.62,0.14,9.95,0,0,0
332,0.11,0.13,0.03,0.46,0.15,9.77,0,0,0
333,0.11,0.11,0.04,0.34,0.18,9.78,0,0,0
334,0.10,0.09,0.03,0.50,0.01,9.75,0,0,0
335,0.10,0.10,0.03,0.57,0.01,9.86,0,0,0
336,0.11,0.10,0.04,0.45,0.02,9.77,0,0,0
337,0.11,0.10,0.04,0.51,0.04,9.83,0,0,0
338,0.12,0.10,0.03,0.51,0.08,9.85,0,0,0
339,0.12,0.10,0.03,0.50,0.17,9.93,0,0,0
340,0.12,0.10,0.05,0.49,0.14,9.86,0,0,0
341,0.12,0.10,0.05,0.49,0.18,9.85,0,0,0
342,0.12,0.11,0.03,0.50,0.12,9.86,0,0,0
343,0.13,0.12,0.02,0.53,0.11,9.99,0,0,0
344,0.12,0.13,0.00,0.44,0.12,9.93,0,0,0
345,0.12,0.12,-0.00,0.43,0.17,9.87,0,0,0
346,0.12,0.12,0.01,0.44,0.14,9.92,0,0,0
347,0.12,0.12,0.01,0.45,0.14,9.87,0,0,0
348,0.12,0.12,0.00,0.45,0.09,9.86,0,0,0
349,0.11,0.11,0.00,0.50,0.09,9.85,0,0,0
350,0.11,0.11,0.01,0.46,0.13,9.86,0,0,0
351,0.11,0.11,-0.01,0.46,0.11,9.84,0,0,0
352,0.10,0.10,-0.03,0.50,0.16,9.95,0,0,0
353,0.09,0.10,-0.02,0.51,0.16,9.89,0,0,0
354,0.09,0.10,-0.02,0.40,0.12,9.80,0,0,0
355,0.10,0.10,-0.02,0.47,0.03,9.85,0,0,0
356,0.11,0.11,0.01,0.53,0.08,9.86,0,0,0
357,0.12,0.11,0.05,0.42,0.06,9.83,0,0,0
358,0.13,0.10,0.04,0.35,0.14,9.82,0,0,0
359,0.12,0.10,0.02,0.37,0.17,9.87,0,0,0
360,0.12,0.10,0.00,0.45,0.14,9.91,0,0,0
361,0.12,0.10,-0.00,0.49,0.12,9.92,0,0,0
362,0.12,0.10,0.01,0.48,0.08,9.85,0,0,0
363,0.13,0.10,0.01,0.50,0.15,9.80,0,0,0
364,0.13,0.09,0.02,0.46,0.09,9.83,0,0,0
365,0.13,0.09,0.03,0.55,0.08,9.86,0,0,0
366,0.13,0.09,0.03,0.51,0.07,9.76,0,0,0
367,0.14,0.09,0.00,0.57,0.07,9.76,0,0,0
368,0.16,0.11,-0.02,0.57,0.11,9.84,0,0,0
369,0.16,0.11,-0.03,0.52,0.23,9.95,0,0,0
370,0.15,0.12,-0.01,0.47,0.31,9.86,0,0,0
371,0.14,0.11,0.02,0.37,0.32,9.95,0,0,0
372,0.13,0.10,0.03,0.36,0.30,9.77,0,0,0
373,0.12,0.09,0.05,0.34,0.33,9.84,0,0,0
374,0.11,0.09,0.07,0.38,0.16,9.91,0,0,0
375,0.10,0.09,0.04,0.39,0.17,9.92,0,0,0
376,0.10,0.08,0.02,0.44,0.08,9.88,0,0,0
377,0.10,0.08,0.01,0.36,0.11,9.85,0,0,0
378,0.10,0.08,-0.01,0.47,0.06,9.82,0,0,0
379,0.11,0.08,0.03,0.49,0.04,9.81,0,0,0
380,0.12,0.08,0.03,0.56,-0.04,9.81,0,0,0
381,0.13,0.08,0.02,0.50,0.03,9.79,0,0,0
382,0.14,0.08,0.01,0.54,0.09,9.90,0,0,0
383,0.15,0.09,0.05,0.48,0.25,9.94,0,0,0
384,0.14,0.09,0.05,0.50,0.24,9.88,0,0,0
385,0.13,0.09,0.03,0.50,0.22,9.90,0,0,0
386,0.11,0.09,0.00,0.40,0.30,9.86,0,0,0
387,0.11,0.09,0.01,0.36,0.23,9.83,0,0,0
388,0.09,0.08,0.01,0.44,0.20,9.71,0,0,0
389,0.11,0.09,0.03,0.46,0.11,9.87,0,0,0
