Packet number,Gyroscope X (deg/s),Gyroscope Y(deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
154,0.00,-0.01,0.00,0.18,-0.01,9.63,0,0,0
155,0.01,-0.01,0.00,0.22,0.02,9.69,0,0,0
156,0.01,-0.01,0.00,0.19,-0.01,9.68,0,0,0
157,0.00,-0.01,0.00,0.15,0.03,9.64,0,0,0
158,0.01,-0.01,0.01,0.15,0.09,9.69,0,0,0
159,0.01,-0.01,0.00,0.07,0.05,9.71,0,0,0
160,0.00,-0.01,0.00,0.06,0.12,9.72,0,0,0
161,0.01,-0.01,0.01,0.00,0.11,9.69,0,0,0
162,0.00,-0.01,0.00,0.07,0.11,9.70,0,0,0
163,0.00,-0.01,0.00,0.12,0.11,9.61,0,0,0
164,0.00,-0.00,0.00,0.07,0.09,9.68,0,0,0
165,0.00,-0.01,0.00,0.15,0.08,9.61,0,0,0
166,-0.00,-0.00,0.00,0.13,0.06,9.62,0,0,0
167,0.00,-0.00,0.00,0.19,0.03,9.70,0,0,0
168,0.00,-0.01,0.00,0.18,0.02,9.67,0,0,0
169,0.00,-0.01,0.01,0.17,0.03,9.69,0,0,0
170,0.01,-0.00,0.01,0.20,0.01,9.65,0,0,0
171,0.00,-0.01,0.01,0.18,0.03,9.70,0,0,0
172,0.01,-0.01,0.00,0.20,0.06,9.61,0,0,0
173,0.01,-0.00,0.01,0.14,0.09,9.74,0,0,0
174,0.01,-0.01,0.00,0.06,0.08,9.70,0,0,0
175,0.01,-0.01,0.01,0.11,0.10,9.67,0,0,0
176,0.00,-0.01,0.00,0.02,0.07,9.71,0,0,0
177,0.00,-0.00,0.01,0.05,0.09,9.72,0,0,0
178,-0.00,-0.01,0.00,0.07,0.11,9.69,0,0,0
179,-0.00,-0.01,0.00,0.12,0.07,9.60,0,0,0
180,0.00,-0.01,0.00,0.11,0.04,9.61,0,0,0
181,0.00,-0.00,0.00,0.16,0.01,9.71,0,0,0
182,0.00,-0.01,0.00,0.18,0.02,9.72,0,0,0
183,0.00,-0.01,0.00,0.20,0.01,9.73,0,0,0
184,0.01,-0.01,0.00,0.18,0.05,9.64,0,0,0
185,0.01,-0.01,0.01,0.21,0.05,9.63,0,0,0
186,0.01,-0.01,0.01,0.14,0.06,9.68,0,0,0
187,0.01,-0.01,0.01,0.16,0.09,9.68,0,0,0
188,0.00,-0.01,0.01,0.11,0.10,9.64,0,0,0
189,0.01,-0.01,0.00,0.14,0.11,9.61,0,0,0
190,0.01,-0.01,0.00,0.09,0.14,9.68,0,0,0
191,0.00,-0.01,0.01,0.13,0.16,9.68,0,0,0
192,0.00,-0.01,0.00,0.11,0.13,9.71,0,0,0
193,-0.00,-0.00,0.01,0.10,0.09,9.64,0,0,0
194,0.00,-0.01,0.01,0.16,-0.03,9.64,0,0,0
195,0.00,-0.01,0.00,0.11,0.02,9.72,0,0,0
196,0.01,-0.01,0.00,0.17,-0.02,9.67,0,0,0
197,0.01,-0.01,0.00,0.16,0.00,9.61,0,0,0
198,0.01,-0.01,0.00,0.12,0.03,9.65,0,0,0
